game_id,title,release,genre,sub-genre,developer,publisher,country,platform,pegi,customizable_main,protagonist,protagonist_non_male,relevant_males,relevant_no_males,percentage_non_male,criteria,director,total_team,female_team,metacritic_,destructoid,ign,gamespot,avg_reviews,male_team,protagonist_male,female_team_percentage,male_team_percentage,male_team_percentage_per_date,female_team_percentage_per_date
JRN,Journey,2012-03-01,Adventure,Adventure,Thatgamecompany,Sony Computer Entertainment,USA,PS3,12,Non-Binary,1,1,0,4,100%,TR,M,7,1,9.2,9.0,9.0,9.5,9.2,6,0,14.0,86.0,86.0,14.0
TWD,The Walking Dead,2012-04-01,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,8.5,8.6,9.3,8.5,8.7,16,1,0.0,100.0,100.0,0.0
BL2,Borderlands 2,2012-09-01,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,8.1,8.5,9.0,8.5,8.5,7,3,0.0,100.0,100.0,0.0
HLM,Hotline Miami,2012-10-01,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,8.6,9.0,8.8,8.5,8.7,2,2,0.0,100.0,100.0,0.0
BSI,BioShock Infinite,2013-03-01,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,9.4,10.0,9.5,9.0,9.5,4,1,0.0,100.0,100.0,0.0
TSWP,The Swapper,2013-05-01,Action,Puzzle-Platform,Facepalm Games,Facepalm Games,FIN,Computer,7,No,1,1,2,4,67%,TR,M,1,0,8.7,10.0,9.3,8.0,9.0,1,0,0.0,100.0,100.0,0.0
TLOU,The Last of Us,2013-06-01,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,9.5,10.0,10.0,8.0,9.4,7,1,0.0,100.0,100.0,0.0
GTAV,Grand Theft Auto V,2013-11-01,Action-adventure,Action-adventure,Rockstar North,Rockstar Games,GBR,Multi,18,No,3,0,9,2,18%,MS,M,7,0,9.7,9.0,10.0,9.0,9.4,7,3,0.0,100.0,100.0,0.0
BRA,Broken Age,2014-01-01,Adventure,Point-and-click adventure,Double Fine Productions,Double Fine Productions,USA,Computer,12,No,2,1,9,7,44%,TR,M,6,1,7.9,9.5,9.5,7.0,8.5,5,1,17.0,83.0,83.0,17.0
COL,Child of Light,2014-04-01,Action,Platform RPG,Ubisoft Montreal,Ubisoft,CAN,Multi,7,No,1,1,6,7,54%,TR,M,7,3,8.2,8.5,9.3,8.0,8.5,4,0,43.0,57.0,57.0,43.0
SK,Shovel Knight: Shovel of Hope,2014-06-01,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,8.8,9.0,9.0,8.0,8.7,8,1,11.0,89.0,89.0,11.0
BY2,Bayonetta 2,2014-09-01,Action-adventure,Action-adventure,PlatinumGames,Nintendo,JPN,Wii U,16,No,1,1,8,3,27%,TR,M,12,2,9.1,10.0,9.5,10.0,9.7,10,0,17.0,83.0,83.0,17.0
TBOIR,The Binding of Isaac: Rebirth,2014-11-01,RPG,Roguelike,Nicalis,Nicalis,USA,Multi,16,No,1,0,7,4,36%,TR,M,3,0,8.4,10.0,9.0,8.0,8.9,3,1,0.0,100.0,100.0,0.0
OABF,Ori and the Blind Forest,2015-03-01,Action-adventure,Platform-adventure,Moon Studios,Microsoft Studios,AUT,Multi,7,Non-Binary,1,1,1,4,80%,TR,M,3,0,8.8,9.5,8.5,9.0,9.0,3,0,0.0,100.0,100.0,0.0
BB,Bloodborne,2015-03-01,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,9.2,9.0,9.1,9.0,9.1,5,0,0.0,100.0,100.0,0.0
YK0,Yakuza 0,2015-03-01,Action-adventure,Action-adventure,Ryu Ga Gotoku Studio,Sega,JPN,Multi,18,No,2,0,15,2,12%,TR,M,5,0,8.7,9.0,8.5,8.0,8.6,5,2,0.0,100.0,100.0,0.0
TW3,The Witcher 3: Wild Hunt,2015-05-01,RPG,Action RPG,CD Projeket Red,CD Projekt,POL,Multi,18,No,1,0,13,6,32%,SR,M,9,0,9.0,8.0,9.3,10.0,9.1,9,1,0.0,100.0,100.0,0.0
MGSV,Metal Gear Solid V: The Phantom Pain,2015-09-01,Action,Stealth,Kojima Productions,Konami,JPN,Multi,18,No,1,0,8,2,20%,TR,M,11,0,9.3,9.0,10.0,10.0,9.6,11,1,0.0,100.0,75.0,25.0
UT,Undertale,2015-09-01,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,9.2,10.0,10.0,9.0,9.6,1,0,50.0,50.0,75.0,25.0
UC4,Uncharted 4: A Thief's End,2016-05-01,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,Multi,16,No,1,0,4,2,33%,TR,M,15,1,9.3,9.5,9.0,10.0,9.5,14,1,7.0,93.0,93.0,7.0
INS,Inside,2016-06-01,Action,Puzzle-Platform,Paydead,Playdead,DNK,Multi,18,No,1,0,2,0,0%,TR,M,2,0,9.1,9.5,10.0,8.0,9.2,2,1,0.0,100.0,100.0,0.0
PSN5,Persona 5,2016-09-01,RPG,Simulation RPG,P-Studio,Atlus,JPN,Multi,16,No,1,0,10,8,44%,TR,M,7,0,9.5,9.0,9.8,9.5,9.5,7,1,0.0,100.0,100.0,0.0
PSM,Pokémon Sun/Moon,2016-11-01,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo 3DS,7,Yes,1,1,4,3,43%,MS,M,12,0,8.7,9.0,9.0,8.0,8.7,12,0,0.0,100.0,100.0,0.0
OWB,Owlboy,2016-11-01,Action-adventure,Platform-adventure,D-Pad Studio,D-Pad Studio,NOR,Multi,7,No,1,0,8,0,0%,TR,M,3,0,8.7,10.0,9.3,9.0,9.3,3,1,0.0,100.0,100.0,0.0
HLKN,Hollow Knight,2017-02-01,Action-adventure,Metroidvania,Team Cherry,Team Cherry,AUS,Computer,7,Non-Binary,1,1,8,8,50%,TR,M,3,0,8.8,10.0,9.4,9.0,9.3,3,0,0.0,100.0,93.0,7.0
NITW,Night in the Woods,2017-02-01,Adventure,Adventure,Secret Lab,Finji,AUT,Multi,12,No,1,1,3,6,67%,TR,M,7,1,8.4,9.5,8.7,9.0,8.9,6,0,14.0,86.0,93.0,7.0
NRA,NieR: Automata,2017-02-01,RPG,Action RPG,PlatinumGames,SquareEnix,JPN,Multi,18,No,1,1,5,8,62%,TR,M,12,1,8.9,9.0,8.9,9.0,9.0,11,0,8.0,92.0,93.0,7.0
BOTW,The Legend of Zelda: Breath of the Wild,2017-03-01,Action-adventure,Action-adventure,Nintendo EDP,Nintendo,JPN,Multi,12,No,1,0,13,5,28%,SR,M,8,0,9.7,10.0,10.0,10.0,9.9,8,1,0.0,100.0,100.0,0.0
WROEF,What Remains of Edith Finch,2017-04-01,Adventure,Adventure,Giant Sparrow,Annapurna Interactive,USA,Multi,16,No,1,1,11,6,35%,TR,M,6,0,8.9,9.0,8.8,9.0,8.9,6,0,0.0,100.0,100.0,0.0
DQXI,Dragon Quest XI,2017-07-01,RPG,RPG,Square Enix,Square Enix,JPN,Multi,12,No,1,0,9,4,31%,TR,M,8,0,8.8,8.0,8.8,9.0,8.7,8,1,0.0,100.0,100.0,0.0
CH,Cuphead,2017-09-01,Action,Rund and gun,Studio MDHR,Studio MDHR,CAN,Multi,7,No,2,0,6,1,14%,TR,M,8,2,8.7,9.5,8.8,8.5,8.9,6,2,25.0,75.0,80.0,20.0
DOS2,Divinity:Original Sin II,2017-09-01,RPG,RPG,Larian Studios,Larian Studios,BEL,Multi,18,Yes,1,1,7,4,36%,TR,M,7,1,9.4,9.0,9.6,10.0,9.5,6,0,14.0,86.0,80.0,20.0
SMO,Super Mario Odyssey,2017-10-01,Action-adventure,Action-adventure,Nintendo EDP,Nintendo,JPN,Nintendo Switch,7,No,1,0,3,2,40%,SR,M,11,1,9.7,9.5,10.0,10.0,9.8,10,1,9.0,91.0,91.0,9.0
CLS,Celeste,2018-01-01,Action,Platform,Maddy Makes Games,Maddy Makes Games,CAN,Multi,7,No,1,1,2,4,67%,TR,F,5,3,9.1,10.0,10.0,9.0,9.5,2,0,60.0,40.0,40.0,60.0
GOW,God of War,2018-04-01,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,9.4,10.0,10.0,9.0,9.6,8,1,11.0,89.0,89.0,11.0
RDR2,Red Dead Redemption 2,2018-12-01,Action-adventure,Action-adventure,Rockstar Studios,Rockstar Games,USA,Multi,18,No,1,0,17,7,29%,SR,M,7,0,9.7,9.5,10.0,9.0,9.6,7,1,0.0,100.0,100.0,0.0
SSDT,Sekiro: Shadows Die Twice,2019-03-01,Action-adventure,Action-adventure,FromSoftware,Activision,JPN,Multi,18,No,1,0,7,1,13%,TR,M,7,0,9.0,9.0,9.5,9.0,9.1,7,1,0.0,100.0,100.0,0.0
DMC5,Devil May Cry 5,2019-03-01,Action-adventure,Action-adventure,Capcom,Capcom,JPN,Multi,18,No,2,0,5,3,38%,TR,M,7,0,8.7,10.0,9.5,9.0,9.3,7,2,0.0,100.0,100.0,0.0
FE3H,Fire Emblem: Three Houses,2019-07-01,RPG,Tactical RPG,Intelligent Systems Koei Tecmo,Nintendo,JPN,Nintendo Switch,12,Yes,1,1,6,5,45%,TR,M,12,3,8.9,9.5,9.5,9.0,9.2,9,0,25.0,75.0,75.0,25.0
DEL,Disco Elysium,2019-10-01,RPG,RPG,ZA/UM,ZA/UM,GBR,Multi,18,No,1,0,2,1,33%,TR,M,2,0,9.1,8.5,9.6,10.0,9.3,2,1,0.0,100.0,100.0,0.0
CODMW,Call of Duty: Modern Warfare,2019-10-01,Action,FPS,Infinity Ward,Activision,USA,Multi,18,No,3,1,5,1,17%,MS,M,11,0,8.0,8.0,8.0,7.0,7.8,11,2,0.0,100.0,100.0,0.0
FC3,Far Cry 3,2019-11-01,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,9.0,8.0,9.0,9.0,8.8,8,1,0.0,100.0,94.0,6.0
PSS,Pokémon Sword/Shield,2019-11-01,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo Switch,7,Yes,1,1,4,5,56%,MS,M,9,1,8.0,7.0,9.3,9.0,8.3,8,0,11.0,89.0,94.0,6.0
OAWW,Ori and the Will of the Wisps,2020-03-01,Action-adventure,Platform-adventure,Moon Studios,Xbox Game Studios,AUT,Multi,7,Non-Binary,1,1,3,5,63%,TR,M,10,1,9.1,9.5,9.0,8.5,9.0,9,0,10.0,90.0,95.0,5.0
HLA,Half-Life:Alyx,2020-03-01,Action,FPS,Valve,Valve,USA,Computer,16,No,1,1,4,1,20%,TR,M,5,0,9.3,9.0,10.0,9.0,9.3,5,0,0.0,100.0,95.0,5.0
TLOU2,The Last of Us Part II,2020-06-01,Action-adventure,Action-adventure,Naughty Dog,Sony Interactive Entertaiment,USA,PS4,18,No,2,2,6,5,45%,TR,M,11,2,9.3,8.5,10.0,8.0,9.0,9,0,18.0,82.0,82.0,18.0
MSMMM,Marvel's Spider-Man: Miles Morales,2020-11-01,Action-adventure,Action-adventure,Insomniac Games,Sony Interactive Entertaiment,USA,PS4,16,No,1,0,7,5,42%,TR,M,8,1,8.5,9.0,9.0,7.0,8.4,7,1,12.0,88.0,88.0,12.0
CACW,Chicory: A Colorful World,2021-06-01,Adventure,Adventure,Finji,Finji,USA,Multi,7,Non-Binary,1,1,0,3,100%,TR,M,3,2,8.9,9.5,9.0,9.0,9.1,1,0,67.0,33.0,33.0,67.0
DL,Deathloop,2021-09-01,Action,FPS,Arkane Lyon,Bethesda Softworks,FRA,Multi,18,No,1,0,5,4,44%,TR,M,7,1,8.8,9.0,10.0,10.0,9.5,6,1,14.0,86.0,78.0,22.0
HA,Hades,2021-09-01,RPG,Action RPG,Supergiant Games,Supergiant Games,USA,Computer,12,No,1,0,9,7,44%,TR,M,10,2,9.3,9.0,9.0,9.0,9.1,8,1,20.0,80.0,78.0,22.0
KBOS,Kena: Bridge of Spirits,2021-09-01,Action-adventure,Action-adventure,Ember Lab,Ember Lab,USA,Multi,12,No,1,1,5,5,50%,TR,M,3,1,8.2,8.0,8.0,9.0,8.3,2,0,33.0,67.0,78.0,22.0
ER,Elden Ring,2022-02-01,RPG,Action RPG,FromSoftware,Bandai Namco Entertainment,JPN,Multi,16,Yes,1,1,10,9,47%,TR,M,6,0,9.5,10.0,10.0,10.0,9.9,6,0,0.0,100.0,100.0,0.0
TSPUD,The Stanley Parable (Ultra Deluxe),2022-04-01,Interactive Story,Interactive Story,Galactic Cafe,Galactic Cafe,GBR,Multi,7,No,1,0,2,0,0%,TR,M,4,1,9.0,10.0,9.0,8.0,9.0,3,1,25.0,75.0,75.0,25.0
NW,Neon White,2022-06-01,Action,FPS,Angel Matrix,Annapurna Interactive,USA,Multi,12,No,1,0,5,4,44%,TR,M,2,0,8.9,8.5,8.0,9.0,8.6,2,1,0.0,100.0,100.0,0.0
IMM,Immortality,2022-08-01,Interactive Story,Interactive Story,Sam Barlow,Half Mermaid Productions,GBR,Multi,16,No,2,2,3,4,57%,TR,M,13,4,8.8,9.0,8.0,8.0,8.5,9,0,31.0,69.0,69.0,31.0
TN,Tunic,2022-09-01,Action-adventure,Action-adventure,Andrew Shouldice,Finji,CAN,Multi,7,Non-Binary,1,1,0,2,100%,TR,M,3,0,8.5,9.0,9.0,9.0,8.9,3,0,0.0,100.0,100.0,0.0
